Condition,Classical,Linear-IQ,MLP-IQ,MLP-Phase,MLP-Combined,ResNet-Combined,CVNN,LSTM
SNR 100%,0.0084,0.4711,0.0116,0.0087,0.0087,0.0087,0.0116,0.0084
SNR 75%,0.0730,0.4480,0.0434,0.0638,0.0462,0.0636,0.0434,0.0506
SNR 50%,0.1910,0.4971,0.1965,0.1855,0.2110,0.2139,0.1936,0.1966
SNR 25%,0.3764,0.4653,0.3410,0.3942,0.3786,0.3960,0.3671,0.3736
Phase 0deg,0.0084,0.4422,0.0058,0.0087,0.0000,0.0058,0.0029,0.0112
Phase 30deg,0.0225,0.4798,0.0029,0.0087,0.0058,0.0145,0.0029,0.0140
Phase 60deg,0.0140,0.4971,0.0116,0.0087,0.0087,0.0029,0.0087,0.0028
Phase 90deg,0.0253,0.4855,0.0231,0.0145,0.0231,0.0289,0.0231,0.0253
Phase 120deg,0.0197,0.5202,0.0145,0.0116,0.0145,0.0116,0.0145,0.0197
Phase 150deg,0.0084,0.5000,0.0260,0.0000,0.0058,0.0029,0.0145,0.0169
Freq 0Hz,0.0140,0.4653,0.0116,0.0058,0.0058,0.0058,0.0087,0.0112
Freq 500Hz,0.0169,0.4827,0.0058,0.0058,0.0058,0.0058,0.0029,0.0140
Freq 1kHz,0.0140,0.5145,0.0116,0.0058,0.0145,0.0202,0.0173,0.0140
Freq 2kHz,0.0112,0.4566,0.0029,0.0029,0.0029,0.0058,0.0058,0.0140
Freq 5kHz,0.0225,0.4798,0.0087,0.0058,0.0058,0.0058,0.0087,0.0225
IQ alpha=1.0,0.0309,0.4711,0.0173,0.0290,0.0202,0.0318,0.0173,0.0225
IQ alpha=0.85,0.0169,0.4538,0.0058,0.0029,0.0000,0.0029,0.0029,0.0084
IQ alpha=0.70,0.0112,0.4769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112
Saleh mild,0.0169,0.4653,0.0058,0.0000,0.0029,0.0029,0.0029,0.0112
Saleh moderate,0.0112,0.4740,0.0000,0.0000,0.0000,0.0000,0.0029,0.0028
Saleh severe,0.0056,0.5173,0.0000,0.0000,0.0029,0.0029,0.0000,0.0000
Combined,0.0281,0.5000,0.0202,0.0145,0.0145,0.0087,0.0202,0.0197
HW:TjFcUbSgAeIwOkV,0.5441,0.4381,0.5309,0.5596,0.5619,0.5619,0.5567,0.5490
HW:VbGwEsYqUjNmKhF,0.5441,0.4794,0.5000,0.5026,0.5000,0.5000,0.5000,0.4853
HW:iRzCpDvTxBfWgOn,0.5196,0.5000,0.5412,0.5440,0.5412,0.5515,0.5309,0.5392
HW:kDhWvYmPzLxQqRn,0.5147,0.5000,0.5000,0.5233,0.5103,0.5155,0.5103,0.5343
HW:pXnMoZtLyJrHdCa,0.5196,0.5052,0.4948,0.4767,0.4794,0.4845,0.4794,0.4804
HW Mean,0.5284,0.4845,0.5134,0.5212,0.5186,0.5227,0.5155,0.5176
