filename,split,non_ideality,param_name,param_value,message_id
Train/snr_100pct_msg1,Train,snr,amplitude_scale,1.0,1
Train/snr_075pct_msg1,Train,snr,amplitude_scale,0.75,1
Train/snr_050pct_msg1,Train,snr,amplitude_scale,0.5,1
Train/snr_025pct_msg1,Train,snr,amplitude_scale,0.25,1
Train/phase_000deg_msg1,Train,phase_offset,degrees,0,1
Train/phase_030deg_msg1,Train,phase_offset,degrees,30,1
Train/phase_060deg_msg1,Train,phase_offset,degrees,60,1
Train/phase_090deg_msg1,Train,phase_offset,degrees,90,1
Train/phase_120deg_msg1,Train,phase_offset,degrees,120,1
Train/phase_150deg_msg1,Train,phase_offset,degrees,150,1
Train/freq_00000hz_msg1,Train,freq_offset,hz,0,1
Train/freq_00500hz_msg1,Train,freq_offset,hz,500,1
Train/freq_01000hz_msg1,Train,freq_offset,hz,1000,1
Train/freq_02000hz_msg1,Train,freq_offset,hz,2000,1
Train/freq_05000hz_msg1,Train,freq_offset,hz,5000,1
Train/iq_100_msg1,Train,iq_imbalance,q_scale,1.0,1
Train/iq_085_msg1,Train,iq_imbalance,q_scale,0.85,1
Train/iq_070_msg1,Train,iq_imbalance,q_scale,0.7,1
Train/saleh_mild_msg1,Train,nonlinear_saleh,severity,mild,1
Train/saleh_moderate_msg1,Train,nonlinear_saleh,severity,moderate,1
Train/saleh_severe_msg1,Train,nonlinear_saleh,severity,severe,1
Train/combined_msg1,Train,combined,phase+freq+iq,60deg+1000hz+0.85iq,1
Train/snr_100pct_msg2,Train,snr,amplitude_scale,1.0,2
Train/snr_075pct_msg2,Train,snr,amplitude_scale,0.75,2
Train/snr_050pct_msg2,Train,snr,amplitude_scale,0.5,2
Train/snr_025pct_msg2,Train,snr,amplitude_scale,0.25,2
Train/phase_000deg_msg2,Train,phase_offset,degrees,0,2
Train/phase_030deg_msg2,Train,phase_offset,degrees,30,2
Train/phase_060deg_msg2,Train,phase_offset,degrees,60,2
Train/phase_090deg_msg2,Train,phase_offset,degrees,90,2
Train/phase_120deg_msg2,Train,phase_offset,degrees,120,2
Train/phase_150deg_msg2,Train,phase_offset,degrees,150,2
Train/freq_00000hz_msg2,Train,freq_offset,hz,0,2
Train/freq_00500hz_msg2,Train,freq_offset,hz,500,2
Train/freq_01000hz_msg2,Train,freq_offset,hz,1000,2
Train/freq_02000hz_msg2,Train,freq_offset,hz,2000,2
Train/freq_05000hz_msg2,Train,freq_offset,hz,5000,2
Train/iq_100_msg2,Train,iq_imbalance,q_scale,1.0,2
Train/iq_085_msg2,Train,iq_imbalance,q_scale,0.85,2
Train/iq_070_msg2,Train,iq_imbalance,q_scale,0.7,2
